Date,Time,Area_Name,Road_Type,Weather_Condition,Surface_Condition,Traffic_Density,Accident_Severity
2023-01-01,22:00,Najafgarh-Dhansa Road,Rural,Stormy,Wet,Medium,9
2023-01-01,14:00,Lajpat Nagar Market Rd,City,Rain,Wet,Low,4
2023-01-01,13:00,Chandni Chowk Main Road,City,Fog,Damp,Low,7
2023-01-01,22:00,Lajpat Nagar Market Rd,City,Stormy,Wet,Low,6
2023-01-01,13:00,Outer Ring Road (Nehru Place),Highway,Fog,Damp,Low,9
2023-01-01,15:00,Chandni Chowk Main Road,City,Stormy,Wet,Low,5
2023-01-01,15:00,DND Flyway,Highway,Stormy,Wet,Low,7
2023-01-01,15:00,Hauz Khas Village Rd,City,Stormy,Wet,Medium,8
2023-01-01,09:00,Lajpat Nagar Market Rd,City,Fog,Damp,High,5
2023-01-01,23:00,Chandni Chowk Main Road,City,Fog,Damp,Medium,4
2023-01-01,12:00,Chandni Chowk Main Road,City,Rain,Wet,High,4
2023-01-01,09:00,DND Flyway,Highway,Fog,Damp,High,10
2023-01-01,07:00,Outer Ring Road (Nehru Place),Highway,Clear,Dry,Medium,4
2023-01-01,03:00,Najafgarh-Dhansa Road,Rural,Fog,Damp,High,10
2023-01-01,19:00,Chhatarpur Farm Road,Rural,Clear,Dry,Medium,1
2023-01-01,16:00,DND Flyway,Highway,Stormy,Wet,Low,7
2023-01-01,04:00,DND Flyway,Highway,Rain,Wet,Low,5
2023-01-01,17:00,Lajpat Nagar Market Rd,City,Fog,Damp,Medium,5
2023-01-02,09:00,Chhatarpur Farm Road,Rural,Stormy,Wet,Medium,10
2023-01-02,23:00,Hauz Khas Village Rd,City,Stormy,Wet,Low,5
2023-01-02,15:00,Delhi-Gurgaon Expressway,Highway,Stormy,Wet,Medium,10
2023-01-02,04:00,Lajpat Nagar Market Rd,City,Fog,Damp,Low,5
2023-01-02,19:00,Noida-Greater Noida Expressway,Highway,Fog,Damp,Medium,8
2023-01-02,15:00,Chandni Chowk Main Road,City,Stormy,Wet,Low,7
2023-01-02,13:00,Lajpat Nagar Market Rd,City,Fog,Damp,High,8
2023-01-02,13:00,Najafgarh-Dhansa Road,Rural,Fog,Damp,High,10
2023-01-02,22:00,Chhatarpur Farm Road,Rural,Clear,Dry,Low,2
2023-01-02,10:00,Lajpat Nagar Market Rd,City,Clear,Dry,High,4
2023-01-02,07:00,Chhatarpur Farm Road,Rural,Fog,Damp,Low,9
2023-01-02,10:00,Connaught Place Outer Circle,City,Fog,Damp,Low,6
2023-01-02,23:00,Najafgarh-Dhansa Road,Rural,Clear,Dry,Medium,1
2023-01-02,19:00,Hauz Khas Village Rd,City,Clear,Dry,Medium,1
2023-01-02,09:00,Najafgarh-Dhansa Road,Rural,Clear,Dry,Low,1
2023-01-02,14:00,Outer Ring Road (Nehru Place),Highway,Stormy,Wet,Medium,10
2023-01-02,15:00,Connaught Place Outer Circle,City,Fog,Damp,High,7
2023-01-02,18:00,Outer Ring Road (Nehru Place),Highway,Rain,Wet,High,9
2023-01-02,06:00,Outer Ring Road (Nehru Place),Highway,Stormy,Wet,Medium,7
2023-01-02,19:00,Najafgarh-Dhansa Road,Rural,Rain,Wet,High,4
2023-01-03,13:00,Chandni Chowk Main Road,City,Clear,Dry,Medium,2
2023-01-03,08:00,Chhatarpur Farm Road,Rural,Rain,Wet,Medium,3
2023-01-03,22:00,DND Flyway,Highway,Stormy,Wet,High,9
2023-01-03,15:00,Noida-Greater Noida Expressway,Highway,Stormy,Wet,Medium,8
2023-01-03,22:00,DND Flyway,Highway,Stormy,Wet,Low,10
2023-01-03,08:00,Najafgarh-Dhansa Road,Rural,Rain,Wet,Low,4
2023-01-03,23:00,DND Flyway,Highway,Stormy,Wet,Medium,7
2023-01-03,13:00,Lajpat Nagar Market Rd,City,Stormy,Wet,High,7
2023-01-03,11:00,Connaught Place Outer Circle,City,Clear,Dry,Low,2
2023-01-03,06:00,Delhi-Gurgaon Expressway,Highway,Stormy,Wet,Medium,7
2023-01-03,19:00,Hauz Khas Village Rd,City,Rain,Wet,High,6
2023-01-03,19:00,Delhi-Gurgaon Expressway,Highway,Clear,Dry,Low,2
2023-01-03,20:00,DND Flyway,Highway,Fog,Damp,High,8
2023-01-03,16:00,Najafgarh-Dhansa Road,Rural,Fog,Damp,Low,9
2023-01-03,17:00,Najafgarh-Dhansa Road,Rural,Stormy,Wet,High,10
2023-01-03,21:00,Delhi-Gurgaon Expressway,Highway,Rain,Wet,High,9
2023-01-03,17:00,Outer Ring Road (Nehru Place),Highway,Stormy,Wet,Medium,7
2023-01-03,08:00,Bawana Industrial Area,Rural,Stormy,Wet,Medium,10
2023-01-03,03:00,Connaught Place Outer Circle,City,Stormy,Wet,Medium,7
2023-01-04,21:00,Chhatarpur Farm Road,Rural,Rain,Wet,High,5
2023-01-04,12:00,Bawana Industrial Area,Rural,Clear,Dry,Low,1
2023-01-04,03:00,Bawana Industrial Area,Rural,Rain,Wet,Low,4
2023-01-04,16:00,Bawana Industrial Area,Rural,Clear,Dry,High,2
2023-01-04,09:00,Delhi-Gurgaon Expressway,Highway,Rain,Wet,Low,6
2023-01-04,11:00,Outer Ring Road (Nehru Place),Highway,Stormy,Wet,High,10
2023-01-04,12:00,Connaught Place Outer Circle,City,Rain,Wet,Medium,3
2023-01-04,09:00,Outer Ring Road (Nehru Place),Highway,Fog,Damp,High,7
2023-01-04,18:00,Noida-Greater Noida Expressway,Highway,Clear,Dry,Medium,2
2023-01-04,05:00,Chandni Chowk Main Road,City,Stormy,Wet,Low,7
2023-01-04,08:00,Najafgarh-Dhansa Road,Rural,Clear,Dry,Low,2
2023-01-04,21:00,Delhi-Gurgaon Expressway,Highway,Rain,Wet,Low,5
2023-01-04,04:00,Bawana Industrial Area,Rural,Clear,Dry,Medium,1
2023-01-04,01:00,Lajpat Nagar Market Rd,City,Clear,Dry,Medium,2
2023-01-04,12:00,Bawana Industrial Area,Rural,Fog,Damp,High,8
2023-01-04,17:00,Chhatarpur Farm Road,Rural,Rain,Wet,Medium,5
2023-01-04,10:00,DND Flyway,Highway,Stormy,Wet,High,10
2023-01-04,23:00,Lajpat Nagar Market Rd,City,Rain,Wet,High,6
2023-01-04,22:00,Outer Ring Road (Nehru Place),Highway,Rain,Wet,High,8
2023-01-04,21:00,Delhi-Gurgaon Expressway,Highway,Fog,Damp,Medium,7
2023-01-04,16:00,Outer Ring Road (Nehru Place),Highway,Fog,Damp,Medium,9
2023-01-05,02:00,DND Flyway,Highway,Clear,Dry,Medium,5
2023-01-05,07:00,Connaught Place Outer Circle,City,Rain,Wet,Low,5
2023-01-05,20:00,Connaught Place Outer Circle,City,Fog,Damp,Medium,7
2023-01-05,15:00,Bawana Industrial Area,Rural,Fog,Damp,High,10
2023-01-05,08:00,Hauz Khas Village Rd,City,Clear,Dry,Medium,2
2023-01-05,22:00,Hauz Khas Village Rd,City,Clear,Dry,Low,1
2023-01-05,08:00,Hauz Khas Village Rd,City,Stormy,Wet,Medium,7
2023-01-05,05:00,Chhatarpur Farm Road,Rural,Fog,Damp,Low,7
2023-01-05,15:00,Hauz Khas Village Rd,City,Stormy,Wet,Medium,8
2023-01-05,05:00,Connaught Place Outer Circle,City,Rain,Wet,High,5
2023-01-05,10:00,Outer Ring Road (Nehru Place),Highway,Rain,Wet,Medium,7
2023-01-05,11:00,Bawana Industrial Area,Rural,Rain,Wet,Medium,3
2023-01-05,15:00,Chhatarpur Farm Road,Rural,Fog,Damp,Medium,7
2023-01-05,13:00,Chhatarpur Farm Road,Rural,Stormy,Wet,Low,10
2023-01-05,08:00,Chhatarpur Farm Road,Rural,Rain,Wet,Low,3
2023-01-05,05:00,Bawana Industrial Area,Rural,Stormy,Wet,Low,9
2023-01-05,06:00,Hauz Khas Village Rd,City,Clear,Dry,Medium,2
2023-01-05,09:00,Bawana Industrial Area,Rural,Fog,Damp,Medium,10
2023-01-06,02:00,Chhatarpur Farm Road,Rural,Clear,Dry,Low,1
2023-01-06,17:00,Lajpat Nagar Market Rd,City,Fog,Damp,High,7
2023-01-06,17:00,Hauz Khas Village Rd,City,Clear,Dry,Low,2
2023-01-06,12:00,Hauz Khas Village Rd,City,Rain,Wet,Medium,5
2023-01-06,19:00,Najafgarh-Dhansa Road,Rural,Fog,Damp,High,10
2023-01-06,10:00,Hauz Khas Village Rd,City,Rain,Wet,Medium,5
2023-01-06,21:00,DND Flyway,Highway,Rain,Wet,Low,5
2023-01-06,15:00,Chandni Chowk Main Road,City,Stormy,Wet,Low,8
2023-01-06,18:00,Najafgarh-Dhansa Road,Rural,Stormy,Wet,High,10
2023-01-06,15:00,Chandni Chowk Main Road,City,Fog,Damp,High,8
2023-01-06,06:00,Delhi-Gurgaon Expressway,Highway,Stormy,Wet,High,10
2023-01-06,02:00,DND Flyway,Highway,Rain,Wet,Low,8
2023-01-06,07:00,Bawana Industrial Area,Rural,Rain,Wet,Low,3
2023-01-06,07:00,Chandni Chowk Main Road,City,Rain,Wet,High,4
2023-01-06,23:00,Connaught Place Outer Circle,City,Stormy,Wet,Low,6
2023-01-06,03:00,Hauz Khas Village Rd,City,Clear,Dry,High,3
2023-01-06,11:00,DND Flyway,Highway,Fog,Damp,High,9
2023-01-06,20:00,Delhi-Gurgaon Expressway,Highway,Clear,Dry,Medium,2
2023-01-07,05:00,Delhi-Gurgaon Expressway,Highway,Rain,Wet,Medium,6
2023-01-07,02:00,Najafgarh-Dhansa Road,Rural,Clear,Dry,High,2
2023-01-07,08:00,Najafgarh-Dhansa Road,Rural,Stormy,Wet,High,10
2023-01-07,20:00,DND Flyway,Highway,Stormy,Wet,High,9
2023-01-07,15:00,Connaught Place Outer Circle,City,Clear,Dry,High,2
2023-01-07,11:00,Connaught Place Outer Circle,City,Rain,Wet,High,5
2023-01-07,18:00,Hauz Khas Village Rd,City,Clear,Dry,Low,3
2023-01-07,21:00,Noida-Greater Noida Expressway,Highway,Rain,Wet,Low,6
2023-01-07,19:00,Bawana Industrial Area,Rural,Clear,Dry,Low,1
2023-01-07,05:00,Bawana Industrial Area,Rural,Rain,Wet,Low,3
2023-01-07,00:00,DND Flyway,Highway,Fog,Damp,Low,8
2023-01-07,05:00,Lajpat Nagar Market Rd,City,Fog,Damp,Low,7
2023-01-07,02:00,Hauz Khas Village Rd,City,Clear,Dry,Medium,1
2023-01-07,02:00,Najafgarh-Dhansa Road,Rural,Clear,Dry,Medium,3
2023-01-07,08:00,Connaught Place Outer Circle,City,Stormy,Wet,Low,5
2023-01-07,19:00,Connaught Place Outer Circle,City,Fog,Damp,High,8
2023-01-07,00:00,Noida-Greater Noida Expressway,Highway,Rain,Wet,Medium,5
2023-01-07,17:00,Lajpat Nagar Market Rd,City,Stormy,Wet,Medium,6
2023-01-07,01:00,DND Flyway,Highway,Clear,Dry,Low,4
2023-01-08,11:00,Najafgarh-Dhansa Road,Rural,Rain,Wet,Low,6
2023-01-08,14:00,Najafgarh-Dhansa Road,Rural,Rain,Wet,Low,5
2023-01-08,22:00,Outer Ring Road (Nehru Place),Highway,Clear,Dry,Medium,3
2023-01-08,07:00,DND Flyway,Highway,Stormy,Wet,Medium,7
2023-01-08,00:00,Chandni Chowk Main Road,City,Stormy,Wet,Medium,7
2023-01-08,17:00,Najafgarh-Dhansa Road,Rural,Stormy,Wet,Low,9
2023-01-08,09:00,Connaught Place Outer Circle,City,Fog,Damp,Low,4
2023-01-08,00:00,Noida-Greater Noida Expressway,Highway,Stormy,Wet,High,9
2023-01-08,09:00,Noida-Greater Noida Expressway,Highway,Rain,Wet,High,8
2023-01-08,19:00,Connaught Place Outer Circle,City,Clear,Dry,High,1
2023-01-08,05:00,Bawana Industrial Area,Rural,Stormy,Wet,Low,8
2023-01-08,00:00,DND Flyway,Highway,Rain,Wet,Medium,7
2023-01-08,18:00,Outer Ring Road (Nehru Place),Highway,Stormy,Wet,Medium,8
2023-01-08,19:00,Noida-Greater Noida Expressway,Highway,Clear,Dry,Medium,3
2023-01-08,22:00,Hauz Khas Village Rd,City,Clear,Dry,Medium,1
2023-01-08,03:00,Delhi-Gurgaon Expressway,Highway,Stormy,Wet,High,9
2023-01-08,16:00,Chhatarpur Farm Road,Rural,Stormy,Wet,Medium,10
2023-01-08,08:00,DND Flyway,Highway,Clear,Dry,Low,4
2023-01-08,06:00,Hauz Khas Village Rd,City,Clear,Dry,Medium,3
2023-01-08,14:00,Chhatarpur Farm Road,Rural,Stormy,Wet,Low,9
2023-01-09,10:00,Bawana Industrial Area,Rural,Rain,Wet,Medium,3
2023-01-09,10:00,DND Flyway,Highway,Fog,Damp,Medium,7
2023-01-09,01:00,Connaught Place Outer Circle,City,Rain,Wet,Low,4
2023-01-09,08:00,Najafgarh-Dhansa Road,Rural,Stormy,Wet,Medium,8
2023-01-09,03:00,Chandni Chowk Main Road,City,Stormy,Wet,High,7
2023-01-09,12:00,Hauz Khas Village Rd,City,Fog,Damp,Medium,4
2023-01-09,10:00,Noida-Greater Noida Expressway,Highway,Rain,Wet,Low,7
2023-01-09,14:00,Bawana Industrial Area,Rural,Rain,Wet,Low,6
2023-01-09,00:00,Bawana Industrial Area,Rural,Fog,Damp,Medium,9
2023-01-09,22:00,Chandni Chowk Main Road,City,Rain,Wet,High,4
2023-01-09,08:00,Noida-Greater Noida Expressway,Highway,Clear,Dry,High,6
2023-01-09,02:00,Noida-Greater Noida Expressway,Highway,Clear,Dry,Medium,3
2023-01-09,15:00,DND Flyway,Highway,Fog,Damp,High,10
2023-01-09,21:00,Lajpat Nagar Market Rd,City,Stormy,Wet,High,9
2023-01-09,13:00,Najafgarh-Dhansa Road,Rural,Fog,Damp,Low,8
2023-01-09,06:00,Bawana Industrial Area,Rural,Fog,Damp,High,10
2023-01-09,10:00,Delhi-Gurgaon Expressway,Highway,Rain,Wet,Low,6
2023-01-09,23:00,Bawana Industrial Area,Rural,Stormy,Wet,Low,10
2023-01-10,07:00,Hauz Khas Village Rd,City,Rain,Wet,Medium,5
2023-01-10,02:00,Hauz Khas Village Rd,City,Rain,Wet,Low,3
2023-01-10,08:00,DND Flyway,Highway,Clear,Dry,Medium,4
2023-01-10,00:00,Delhi-Gurgaon Expressway,Highway,Fog,Damp,Low,6
2023-01-10,16:00,Outer Ring Road (Nehru Place),Highway,Stormy,Wet,Low,10
2023-01-10,03:00,Bawana Industrial Area,Rural,Clear,Dry,Medium,1
2023-01-10,05:00,Noida-Greater Noida Expressway,Highway,Stormy,Wet,Low,10
2023-01-10,06:00,Delhi-Gurgaon Expressway,Highway,Stormy,Wet,Low,10
2023-01-10,18:00,Chandni Chowk Main Road,City,Rain,Wet,Low,6
2023-01-10,17:00,Outer Ring Road (Nehru Place),Highway,Fog,Damp,Medium,7
2023-01-10,19:00,Chandni Chowk Main Road,City,Fog,Damp,Medium,4
2023-01-10,16:00,Hauz Khas Village Rd,City,Clear,Dry,High,4
2023-01-10,10:00,Najafgarh-Dhansa Road,Rural,Rain,Wet,High,5
2023-01-10,19:00,Lajpat Nagar Market Rd,City,Stormy,Wet,High,7
2023-01-10,12:00,Najafgarh-Dhansa Road,Rural,Clear,Dry,High,2
2023-01-10,08:00,DND Flyway,Highway,Clear,Dry,Medium,3
2023-01-10,21:00,Delhi-Gurgaon Expressway,Highway,Fog,Damp,Low,9
2023-01-10,21:00,Hauz Khas Village Rd,City,Clear,Dry,Low,1
2023-01-10,19:00,Najafgarh-Dhansa Road,Rural,Fog,Damp,Medium,7
2023-01-10,11:00,Outer Ring Road (Nehru Place),Highway,Rain,Wet,Low,6
2023-01-11,23:00,Noida-Greater Noida Expressway,Highway,Fog,Damp,High,8
2023-01-11,03:00,Delhi-Gurgaon Expressway,Highway,Clear,Dry,Medium,2
2023-01-11,13:00,Lajpat Nagar Market Rd,City,Stormy,Wet,High,6
2023-01-11,10:00,DND Flyway,Highway,Clear,Dry,High,3
2023-01-11,19:00,Delhi-Gurgaon Expressway,Highway,Stormy,Wet,High,8
2023-01-11,00:00,Connaught Place Outer Circle,City,Fog,Damp,Medium,4
2023-01-11,02:00,DND Flyway,Highway,Rain,Wet,Medium,8
2023-01-11,22:00,Outer Ring Road (Nehru Place),Highway,Fog,Damp,Medium,6
2023-01-11,22:00,Outer Ring Road (Nehru Place),Highway,Fog,Damp,Medium,7
2023-01-11,22:00,Chandni Chowk Main Road,City,Rain,Wet,Medium,6
2023-01-11,18:00,DND Flyway,Highway,Fog,Damp,High,9
2023-01-11,16:00,Noida-Greater Noida Expressway,Highway,Stormy,Wet,Low,9
2023-01-11,05:00,Delhi-Gurgaon Expressway,Highway,Fog,Damp,Low,6
2023-01-11,06:00,Connaught Place Outer Circle,City,Rain,Wet,Medium,5
2023-01-11,08:00,Lajpat Nagar Market Rd,City,Stormy,Wet,Medium,8
2023-01-11,19:00,DND Flyway,Highway,Clear,Dry,Medium,5
2023-01-11,18:00,Delhi-Gurgaon Expressway,Highway,Clear,Dry,Low,5
2023-01-11,15:00,Lajpat Nagar Market Rd,City,Stormy,Wet,Low,7
2023-01-11,07:00,DND Flyway,Highway,Rain,Wet,High,8
2023-01-12,18:00,Chandni Chowk Main Road,City,Clear,Dry,Low,2
2023-01-12,14:00,Noida-Greater Noida Expressway,Highway,Fog,Damp,High,10
2023-01-12,00:00,Najafgarh-Dhansa Road,Rural,Rain,Wet,High,5
2023-01-12,06:00,Connaught Place Outer Circle,City,Clear,Dry,High,3
2023-01-12,07:00,Outer Ring Road (Nehru Place),Highway,Clear,Dry,Low,2
2023-01-12,07:00,Hauz Khas Village Rd,City,Fog,Damp,High,7
2023-01-12,14:00,Chandni Chowk Main Road,City,Rain,Wet,Medium,6
2023-01-12,17:00,Lajpat Nagar Market Rd,City,Rain,Wet,Medium,5
2023-01-12,14:00,Chandni Chowk Main Road,City,Clear,Dry,High,1
2023-01-12,17:00,DND Flyway,Highway,Fog,Damp,High,8
2023-01-12,17:00,Chandni Chowk Main Road,City,Clear,Dry,Low,2
2023-01-12,03:00,Lajpat Nagar Market Rd,City,Rain,Wet,High,4
2023-01-12,15:00,Delhi-Gurgaon Expressway,Highway,Stormy,Wet,High,10
2023-01-12,14:00,Noida-Greater Noida Expressway,Highway,Fog,Damp,High,10
2023-01-12,11:00,Noida-Greater Noida Expressway,Highway,Rain,Wet,Medium,5
2023-01-12,23:00,Najafgarh-Dhansa Road,Rural,Clear,Dry,Medium,1
2023-01-12,05:00,Najafgarh-Dhansa Road,Rural,Clear,Dry,Medium,2
2023-01-12,16:00,Chhatarpur Farm Road,Rural,Fog,Damp,Medium,7
2023-01-12,02:00,Najafgarh-Dhansa Road,Rural,Stormy,Wet,Low,8
2023-01-12,03:00,Chhatarpur Farm Road,Rural,Rain,Wet,High,5
2023-01-13,04:00,Chandni Chowk Main Road,City,Fog,Damp,High,6
2023-01-13,09:00,Outer Ring Road (Nehru Place),Highway,Fog,Damp,High,9
2023-01-13,13:00,Chandni Chowk Main Road,City,Rain,Wet,Low,6
2023-01-13,21:00,Delhi-Gurgaon Expressway,Highway,Rain,Wet,Low,6
2023-01-13,18:00,Connaught Place Outer Circle,City,Clear,Dry,Medium,1
2023-01-13,23:00,Lajpat Nagar Market Rd,City,Rain,Wet,Medium,6
2023-01-13,07:00,Delhi-Gurgaon Expressway,Highway,Clear,Dry,Medium,5
2023-01-13,23:00,Chhatarpur Farm Road,Rural,Clear,Dry,Low,1
2023-01-13,03:00,Delhi-Gurgaon Expressway,Highway,Fog,Damp,Medium,8
2023-01-13,18:00,Bawana Industrial Area,Rural,Stormy,Wet,Medium,10
2023-01-13,11:00,Noida-Greater Noida Expressway,Highway,Rain,Wet,High,9
2023-01-13,11:00,Chandni Chowk Main Road,City,Clear,Dry,Medium,1
2023-01-13,08:00,Hauz Khas Village Rd,City,Fog,Damp,Medium,7
2023-01-13,06:00,Hauz Khas Village Rd,City,Stormy,Wet,Low,8
2023-01-13,19:00,Hauz Khas Village Rd,City,Stormy,Wet,Medium,6
2023-01-13,01:00,Noida-Greater Noida Expressway,Highway,Rain,Wet,Low,5
2023-01-13,04:00,Hauz Khas Village Rd,City,Rain,Wet,Low,3
2023-01-13,12:00,Chhatarpur Farm Road,Rural,Fog,Damp,High,9
2023-01-13,21:00,Najafgarh-Dhansa Road,Rural,Fog,Damp,Medium,10
2023-01-13,18:00,Bawana Industrial Area,Rural,Stormy,Wet,Low,8
2023-01-14,11:00,Bawana Industrial Area,Rural,Rain,Wet,High,4
2023-01-14,14:00,Chandni Chowk Main Road,City,Rain,Wet,High,4
2023-01-14,04:00,Lajpat Nagar Market Rd,City,Stormy,Wet,Medium,6
2023-01-14,07:00,DND Flyway,Highway,Stormy,Wet,Low,9
2023-01-14,07:00,Chhatarpur Farm Road,Rural,Fog,Damp,Low,8
2023-01-14,11:00,DND Flyway,Highway,Rain,Wet,Low,8
2023-01-14,10:00,Bawana Industrial Area,Rural,Stormy,Wet,Medium,8
2023-01-14,08:00,Lajpat Nagar Market Rd,City,Clear,Dry,Medium,1
2023-01-14,23:00,DND Flyway,Highway,Clear,Dry,Medium,2
2023-01-14,02:00,Outer Ring Road (Nehru Place),Highway,Fog,Damp,High,10
2023-01-14,00:00,DND Flyway,Highway,Fog,Damp,High,10
2023-01-14,21:00,Connaught Place Outer Circle,City,Clear,Dry,High,1
2023-01-14,09:00,Hauz Khas Village Rd,City,Rain,Wet,Medium,3
2023-01-14,10:00,Delhi-Gurgaon Expressway,Highway,Fog,Damp,Medium,6
2023-01-14,21:00,Outer Ring Road (Nehru Place),Highway,Clear,Dry,Medium,4
2023-01-14,14:00,Noida-Greater Noida Expressway,Highway,Rain,Wet,Medium,8
2023-01-14,20:00,Noida-Greater Noida Expressway,Highway,Stormy,Wet,High,9
2023-01-15,17:00,Hauz Khas Village Rd,City,Rain,Wet,Low,4
2023-01-15,06:00,Hauz Khas Village Rd,City,Rain,Wet,High,7
2023-01-15,19:00,Hauz Khas Village Rd,City,Fog,Damp,High,6
2023-01-15,22:00,Connaught Place Outer Circle,City,Fog,Damp,High,6
2023-01-15,10:00,Outer Ring Road (Nehru Place),Highway,Clear,Dry,High,5
2023-01-15,00:00,Noida-Greater Noida Expressway,Highway,Stormy,Wet,High,8
2023-01-15,09:00,Hauz Khas Village Rd,City,Fog,Damp,Low,7
2023-01-15,19:00,Chhatarpur Farm Road,Rural,Rain,Wet,Low,4
2023-01-15,05:00,Najafgarh-Dhansa Road,Rural,Rain,Wet,Medium,5
2023-01-15,22:00,Noida-Greater Noida Expressway,Highway,Stormy,Wet,High,10
2023-01-15,15:00,Bawana Industrial Area,Rural,Rain,Wet,High,5
2023-01-15,02:00,Chhatarpur Farm Road,Rural,Rain,Wet,High,7
2023-01-15,04:00,DND Flyway,Highway,Clear,Dry,Medium,3
2023-01-15,08:00,Delhi-Gurgaon Expressway,Highway,Stormy,Wet,Low,10
2023-01-15,09:00,Outer Ring Road (Nehru Place),Highway,Fog,Damp,High,9
2023-01-15,20:00,DND Flyway,Highway,Rain,Wet,Low,8
2023-01-15,13:00,Lajpat Nagar Market Rd,City,Rain,Wet,Medium,3
2023-01-15,23:00,Lajpat Nagar Market Rd,City,Rain,Wet,High,6
2023-01-15,09:00,Connaught Place Outer Circle,City,Stormy,Wet,High,7
2023-01-15,05:00,Bawana Industrial Area,Rural,Stormy,Wet,Medium,10
2023-01-16,13:00,Outer Ring Road (Nehru Place),Highway,Fog,Damp,Medium,6
2023-01-16,03:00,Chhatarpur Farm Road,Rural,Rain,Wet,High,6
2023-01-16,03:00,DND Flyway,Highway,Fog,Damp,Low,9
2023-01-16,21:00,Delhi-Gurgaon Expressway,Highway,Rain,Wet,Medium,6
2023-01-16,14:00,Chandni Chowk Main Road,City,Stormy,Wet,High,6
2023-01-16,05:00,Noida-Greater Noida Expressway,Highway,Fog,Damp,Low,6
2023-01-16,01:00,Delhi-Gurgaon Expressway,Highway,Rain,Wet,Low,7
2023-01-16,20:00,Delhi-Gurgaon Expressway,Highway,Rain,Wet,Low,7
2023-01-16,10:00,Bawana Industrial Area,Rural,Clear,Dry,High,1
2023-01-16,02:00,Outer Ring Road (Nehru Place),Highway,Clear,Dry,Low,2
2023-01-16,19:00,Chandni Chowk Main Road,City,Clear,Dry,Medium,3
2023-01-16,01:00,Delhi-Gurgaon Expressway,Highway,Fog,Damp,Medium,8
